     ,buy_slope_threshold,buy_velocity_threshold,close_slope_threshold,close_velocity_threshold,sell_slope_threshold,sell_velocity_threshold,profit_percentage
489  ,-175.279978661492  ,-126.87326797909      ,40.435954295159746   ,75.79144296880062       ,-31.46935669039084  ,75.79144296880062      ,7453.9520491922385
314  ,-175.279978661492  ,-126.87326797909      ,-31.46935669039084   ,-25.54091250514469      ,-31.46935669039084  ,75.79144296880062      ,7453.9520491922385
463  ,-175.279978661492  ,-126.87326797909      ,40.435954295159746   ,25.125265231827967      ,-31.46935669039084  ,75.79144296880062      ,7453.9520491922385
14   ,-175.279978661492  ,-126.87326797909      ,-175.279978661492    ,-126.87326797909        ,-31.46935669039084  ,75.79144296880062      ,7453.9520491922385
513  ,-175.279978661492  ,-126.87326797909      ,112.34126528071033   ,-126.87326797909        ,-31.46935669039084  ,75.79144296880062      ,7453.9520491922385
364  ,-175.279978661492  ,-126.87326797909      ,-31.46935669039084   ,75.79144296880062       ,-31.46935669039084  ,75.79144296880062      ,7453.9520491922385
539  ,-175.279978661492  ,-126.87326797909      ,112.34126528071033   ,-76.20709024211735      ,-31.46935669039084  ,75.79144296880062      ,7453.9520491922385
189  ,-175.279978661492  ,-126.87326797909      ,-103.37466767594142  ,-25.54091250514469      ,-31.46935669039084  ,75.79144296880062      ,7453.9520491922385
214  ,-175.279978661492  ,-126.87326797909      ,-103.37466767594142  ,25.125265231827967      ,-31.46935669039084  ,75.79144296880062      ,7453.9520491922385
164  ,-175.279978661492  ,-126.87326797909      ,-103.37466767594142  ,-76.20709024211735      ,-31.46935669039084  ,75.79144296880062      ,7453.9520491922385
263  ,-175.279978661492  ,-126.87326797909      ,-31.46935669039084   ,-126.87326797909        ,-31.46935669039084  ,75.79144296880062      ,7453.9520491922385
288  ,-175.279978661492  ,-126.87326797909      ,-31.46935669039084   ,-76.20709024211735      ,-31.46935669039084  ,75.79144296880062      ,7453.9520491922385
139  ,-175.279978661492  ,-126.87326797909      ,-103.37466767594142  ,-126.87326797909        ,-31.46935669039084  ,75.79144296880062      ,7453.9520491922385
238  ,-175.279978661492  ,-126.87326797909      ,-103.37466767594142  ,75.79144296880062       ,-31.46935669039084  ,75.79144296880062      ,7453.9520491922385
114  ,-175.279978661492  ,-126.87326797909      ,-175.279978661492    ,75.79144296880062       ,-31.46935669039084  ,75.79144296880062      ,7453.9520491922385
414  ,-175.279978661492  ,-126.87326797909      ,40.435954295159746   ,-76.20709024211735      ,-31.46935669039084  ,75.79144296880062      ,7453.9520491922385
339  ,-175.279978661492  ,-126.87326797909      ,-31.46935669039084   ,25.125265231827967      ,-31.46935669039084  ,75.79144296880062      ,7453.9520491922385
439  ,-175.279978661492  ,-126.87326797909      ,40.435954295159746   ,-25.54091250514469      ,-31.46935669039084  ,75.79144296880062      ,7453.9520491922385
64   ,-175.279978661492  ,-126.87326797909      ,-175.279978661492    ,-25.54091250514469      ,-31.46935669039084  ,75.79144296880062      ,7453.9520491922385
564  ,-175.279978661492  ,-126.87326797909      ,112.34126528071033   ,-25.54091250514469      ,-31.46935669039084  ,75.79144296880062      ,7453.9520491922385
41   ,-175.279978661492  ,-126.87326797909      ,-175.279978661492    ,-76.20709024211735      ,-31.46935669039084  ,75.79144296880062      ,7453.9520491922385
589  ,-175.279978661492  ,-126.87326797909      ,112.34126528071033   ,25.125265231827967      ,-31.46935669039084  ,75.79144296880062      ,7453.9520491922385
389  ,-175.279978661492  ,-126.87326797909      ,40.435954295159746   ,-126.87326797909        ,-31.46935669039084  ,75.79144296880062      ,7453.9520491922385
92   ,-175.279978661492  ,-126.87326797909      ,-175.279978661492    ,25.125265231827967      ,-31.46935669039084  ,75.79144296880062      ,7453.9520491922385
