    ,timestamp ,open          ,high          ,low           ,close         ,open (USD).1  ,high (USD).1  ,low (USD).1   ,close (USD).1 ,volume         ,market cap (USD)  ,pre_close     ,p_change               ,pip_change
1831,2014-06-13,584.08982082  ,615.90024536  ,584.08982082  ,597.47094127  ,584.08982082  ,615.90024536  ,584.08982082  ,597.47094127  ,48648.31894636 ,29065956.91216273 ,587.15703225  ,0.017565844320175827   ,175.65844320175827
1830,2014-06-14,597.90449297  ,599.84722218  ,546.21485315  ,576.35013404  ,597.90449297  ,599.84722218  ,546.21485315  ,576.35013404  ,53862.54043776 ,31043682.40078805 ,597.47094127  ,-0.03535035057120128   ,-353.50350571201284
1829,2014-06-15,572.60799559  ,591.9884615   ,552.44538655  ,591.9884615   ,572.60799559  ,591.9884615   ,552.44538655  ,591.9884615   ,32034.80533859 ,18964235.12688925 ,576.35013404  ,0.027133380451187072   ,271.3338045118707
1828,2014-06-16,591.17997666  ,608.48923226  ,585.45039641  ,590.43798225  ,591.17997666  ,608.48923226  ,585.45039641  ,590.43798225  ,37285.47824376 ,22014762.54159182 ,591.9884615   ,-0.0026191038353540197 ,-26.191038353540197
1827,2014-06-17,589.96274192  ,627.85403918  ,589.04559322  ,609.75703826  ,589.96274192  ,627.85403918  ,589.04559322  ,609.75703826  ,23361.57060323 ,14244882.10006223 ,590.43798225  ,0.03271987336651372    ,327.1987336651372
1826,2014-06-18,608.97931305  ,623.09251524  ,602.481268    ,607.91704968  ,608.97931305  ,623.09251524  ,602.481268    ,607.91704968  ,22457.1967695  ,13652112.80418279 ,609.75703826  ,-0.003017576615844453  ,-30.175766158444528
1825,2014-06-19,607.96402153  ,621.85499517  ,592.93139654  ,592.93139654  ,607.96402153  ,621.85499517  ,592.93139654  ,592.93139654  ,19098.30590619 ,11323985.1924571  ,607.91704968  ,-0.02465081896927912   ,-246.5081896927912
1824,2014-06-20,592.6420083   ,614.68155416  ,586.33223855  ,594.11123856  ,592.6420083   ,614.68155416  ,586.33223855  ,594.11123856  ,23725.37830369 ,14095513.88934204 ,592.93139654  ,0.0019898457509330836  ,19.898457509330836
1823,2014-06-21,593.67721063  ,606.4616471   ,584.75584754  ,603.69065312  ,593.67721063  ,606.4616471   ,584.75584754  ,603.69065312  ,11586.44044905 ,6994625.80200326  ,594.11123856  ,0.016123941003402864   ,161.23941003402865
1822,2014-06-22,603.77371666  ,615.29933749  ,594.01066143  ,600.9412123   ,603.77371666  ,615.29933749  ,594.01066143  ,600.9412123   ,13395.79916775 ,8050087.79157084  ,603.69065312  ,-0.0045543869294486505 ,-45.543869294486505
1821,2014-06-23,600.77697348  ,605.93279223  ,583.91338043  ,589.97235212  ,600.77697348  ,605.93279223  ,583.91338043  ,589.97235212  ,17280.7148437  ,10195143.98273828 ,600.9412123   ,-0.01825280069912083   ,-182.52800699120831
1820,2014-06-24,589.77737626  ,611.96858841  ,581.02034882  ,589.51272475  ,589.77737626  ,611.96858841  ,581.02034882  ,589.51272475  ,18209.11997062 ,10734507.929195   ,589.97235212  ,-0.0007790659483422058 ,-7.790659483422058
1819,2014-06-25,588.1138498   ,589.11619913  ,561.33502209  ,564.17166661  ,588.1138498   ,589.11619913  ,561.33502209  ,564.17166661  ,26976.4542631  ,15219351.16078713 ,589.51272475  ,-0.042986448088540574  ,-429.8644808854057
1818,2014-06-26,564.6535561   ,581.68179343  ,562.90557844  ,581.00884734  ,564.6535561   ,581.68179343  ,562.90557844  ,581.00884734  ,17864.53522205 ,10379453.01770147 ,564.17166661  ,0.029844073579893493   ,298.44073579893495
1817,2014-06-27,581.0913832   ,601.50404703  ,578.93675531  ,601.50404703  ,581.0913832   ,601.50404703  ,578.93675531  ,601.50404703  ,25441.53294742 ,15303185.03046285 ,581.00884734  ,0.03527519380097588    ,352.7519380097588
1816,2014-06-28,602.00356494  ,606.3228314   ,593.83219205  ,594.22625558  ,602.00356494  ,606.3228314   ,593.83219205  ,594.22625558  ,14410.41872613 ,8563049.16102099  ,601.50404703  ,-0.01209932249988177   ,-120.99322499881771
1815,2014-06-29,593.46806242  ,601.9986484   ,593.46323602  ,600.34090061  ,593.46806242  ,601.9986484   ,593.46323602  ,600.34090061  ,8701.569752    ,5223908.22164011  ,594.22625558  ,0.010290095687595757   ,102.90095687595758
1814,2014-06-30,600.1584806   ,646.0242878   ,598.08857405  ,639.19831396  ,600.1584806   ,646.0242878   ,598.08857405  ,639.19831396  ,52958.73386648 ,33851133.39706684 ,600.34090061  ,0.06472558060015143    ,647.2558060015143
1813,2014-07-01,641.49395872  ,658.63040735  ,637.61518816  ,638.37589245  ,641.49395872  ,658.63040735  ,637.61518816  ,638.37589245  ,41432.21504558 ,26449327.25583962 ,639.19831396  ,-0.0012866453055935256 ,-12.866453055935256
1812,2014-07-02,639.24873448  ,656.60667824  ,637.54357677  ,650.90506827  ,639.24873448  ,656.60667824  ,637.54357677  ,650.90506827  ,21808.31623862 ,14195143.57012231 ,638.37589245  ,0.019626643123872745   ,196.26643123872745
1811,2014-07-03,650.48707318  ,652.2751249   ,638.92866309  ,645.32968091  ,650.48707318  ,652.2751249   ,638.92866309  ,645.32968091  ,16221.35635789 ,10468122.72236306 ,650.90506827  ,-0.008565592175858283  ,-85.65592175858283
1810,2014-07-04,644.19767183  ,648.43442566  ,628.72501891  ,629.33823626  ,644.19767183  ,648.43442566  ,628.72501891  ,629.33823626  ,20188.59977333 ,12705457.77400135 ,645.32968091  ,-0.024780271422584987  ,-247.80271422584988
1809,2014-07-05,630.21343185  ,633.54939443  ,627.46457176  ,633.54939443  ,630.21343185  ,633.54939443  ,627.46457176  ,633.54939443  ,8412.47195895  ,5329716.51522459  ,629.33823626  ,0.006691406826042856   ,66.91406826042856
1808,2014-07-06,633.19813746  ,639.54700338  ,628.50533001  ,636.22783394  ,633.19813746  ,639.54700338  ,628.50533001  ,636.22783394  ,10099.86562306 ,6425815.62847128  ,633.54939443  ,0.0042276727490360155  ,42.27672749036016
1807,2014-07-07,634.65927573  ,638.58594783  ,615.5544916   ,623.98250063  ,634.65927573  ,638.58594783  ,615.5544916   ,623.98250063  ,20033.65432376 ,12500649.72176747 ,636.22783394  ,-0.019246773964866737  ,-192.46773964866736
1806,2014-07-08,623.28430804  ,627.44450868  ,620.59770955  ,624.80387498  ,623.28430804  ,627.44450868  ,620.59770955  ,624.80387498  ,10291.76051079 ,6430331.84746722  ,623.98250063  ,0.0013163419633897     ,13.163419633897
1805,2014-07-09,625.50086472  ,629.39304325  ,623.48358167  ,626.01151618  ,625.50086472  ,629.39304325  ,623.48358167  ,626.01151618  ,10366.79013733 ,6489730.01181136  ,624.80387498  ,0.0019328324428822263  ,19.328324428822263
1804,2014-07-10,625.48015006  ,626.45435191  ,613.18106977  ,616.65178587  ,625.48015006  ,626.45435191  ,613.18106977  ,616.65178587  ,17779.94362064 ,10964033.98632117 ,626.01151618  ,-0.014951370810419196  ,-149.51370810419195
1803,2014-07-11,616.41943719  ,633.89299387  ,615.52154654  ,633.89299387  ,616.41943719  ,633.89299387  ,615.52154654  ,633.89299387  ,15980.38703286 ,10129855.37944982 ,616.65178587  ,0.02795939036432915    ,279.5939036432915
1802,2014-07-12,633.84691997  ,640.82751551  ,629.50221762  ,635.00523404  ,633.84691997  ,640.82751551  ,629.50221762  ,635.00523404  ,15240.76847703 ,9677967.75367483  ,633.89299387  ,0.0017546181780769832  ,17.54618178076983
1801,2014-07-13,635.62742027  ,635.83740256  ,626.7852049   ,629.30657419  ,635.62742027  ,635.83740256  ,626.7852049   ,629.30657419  ,11524.17071091 ,7252236.39044404  ,635.00523404  ,-0.008974193509783013  ,-89.74193509783012
1800,2014-07-14,629.47473622  ,630.0068577   ,616.42882963  ,617.58513966  ,629.47473622  ,630.0068577   ,616.42882963  ,617.58513966  ,16388.17758419 ,10121094.94217421 ,629.30657419  ,-0.018625952772044374  ,-186.25952772044374
1799,2014-07-15,618.02980155  ,625.93265015  ,617.43758562  ,622.33738026  ,618.02980155  ,625.93265015  ,617.43758562  ,622.33738026  ,14669.79787946 ,9129563.58128012  ,617.58513966  ,0.007694875240386034   ,76.94875240386034
1798,2014-07-16,622.12174153  ,623.63386913  ,615.78643056  ,617.40600063  ,622.12174153  ,623.63386913  ,615.78643056  ,617.40600063  ,16320.26131595 ,10076227.26838203 ,622.33738026  ,-0.007923965017077705  ,-79.23965017077705
1797,2014-07-17,617.84580187  ,628.70559506  ,614.1341805   ,624.85311823  ,617.84580187  ,628.70559506  ,614.1341805   ,624.85311823  ,18498.28058044 ,11558708.30266189 ,617.40600063  ,0.012061945611803182   ,120.61945611803182
1796,2014-07-18,624.62884592  ,630.12830618  ,619.87465778  ,630.12830618  ,624.62884592  ,630.12830618  ,619.87465778  ,630.12830618  ,17483.608428   ,11016916.56465939 ,624.85311823  ,0.008442284748362727   ,84.42284748362727
1795,2014-07-19,631.2180817   ,631.2180817   ,625.61904423  ,629.05955596  ,631.2180817   ,631.2180817   ,625.61904423  ,629.05955596  ,10220.60281456 ,6429367.86819865  ,630.12830618  ,-0.0016960834952471915 ,-16.960834952471913
1794,2014-07-20,628.96128725  ,629.06182673  ,622.42134585  ,623.58387499  ,628.96128725  ,629.06182673  ,622.42134585  ,623.58387499  ,8089.40007751  ,5044419.44668206  ,629.05955596  ,-0.008704550973148484  ,-87.04550973148484
1793,2014-07-21,623.96254145  ,624.05050165  ,618.68155757  ,621.48067542  ,623.96254145  ,624.05050165  ,618.68155757  ,621.48067542  ,14753.91064509 ,9169270.35273675  ,623.58387499  ,-0.0033727613146407043 ,-33.727613146407045
1792,2014-07-22,622.33512637  ,625.2822339   ,621.26223801  ,622.06535556  ,622.33512637  ,625.2822339   ,621.26223801  ,622.06535556  ,12494.75311221 ,7772553.0374121   ,621.48067542  ,0.0009407857124517083  ,9.407857124517083
1791,2014-07-23,621.72375352  ,625.62068184  ,618.98589157  ,620.75830032  ,621.72375352  ,625.62068184  ,618.98589157  ,620.75830032  ,12340.40805915 ,7660410.73211146  ,622.06535556  ,-0.0021011542088263946 ,-21.011542088263944
1790,2014-07-24,620.55996423  ,621.42656357  ,594.53730313  ,601.69337244  ,620.55996423  ,621.42656357  ,594.53730313  ,601.69337244  ,35974.77853045 ,21645785.81690858 ,620.75830032  ,-0.030712320512141456  ,-307.12320512141457
1789,2014-07-25,601.71572412  ,607.5573771   ,595.08059835  ,601.8689446   ,601.71572412  ,607.5573771   ,595.08059835  ,601.8689446   ,21114.02435334 ,12707875.55372001 ,601.69337244  ,0.00029179673242540893 ,2.9179673242540893
1788,2014-07-26,602.86924316  ,602.87522747  ,592.9119108   ,595.88659638  ,602.86924316  ,602.87522747  ,592.9119108   ,595.88659638  ,16190.49635238 ,9647699.76509474  ,601.8689446   ,-0.009939619370086916  ,-99.39619370086916
1787,2014-07-27,595.81740891  ,599.77642283  ,592.38346167  ,592.81134281  ,595.81740891  ,599.77642283  ,592.38346167  ,592.81134281  ,13336.05063767 ,7905762.08634728  ,595.88659638  ,-0.005160803395615976  ,-51.60803395615976
1786,2014-07-28,593.23930679  ,594.35928792  ,572.87588578  ,586.58157782  ,593.23930679  ,594.35928792  ,572.87588578  ,586.58157782  ,33221.87301278 ,19487338.6899207  ,592.81134281  ,-0.010508849173617607  ,-105.08849173617607
1785,2014-07-29,585.0908018   ,588.8750196   ,581.44701876  ,586.78999392  ,585.0908018   ,588.8750196   ,581.44701876  ,586.78999392  ,21020.90840598 ,12334858.71573294 ,586.58157782  ,0.0003553062487482439  ,3.553062487482439
1784,2014-07-30,586.84237078  ,586.84237078  ,561.22697576  ,565.38507377  ,586.84237078  ,586.84237078  ,561.22697576  ,565.38507377  ,29100.58304183 ,16453035.28994381 ,586.78999392  ,-0.03647799105606142   ,-364.7799105606142
1783,2014-07-31,566.06490182  ,587.73826518  ,561.54482307  ,582.47429294  ,566.06490182  ,587.73826518  ,561.54482307  ,582.47429294  ,32224.93389224 ,18770195.5839999  ,565.38507377  ,0.0302258053189286     ,302.258053189286
1782,2014-08-01,582.39870116  ,602.94907982  ,582.37266919  ,597.54112426  ,582.39870116  ,602.94907982  ,582.37266919  ,597.54112426  ,38899.17990149 ,23243859.69130581 ,582.47429294  ,0.025866946408829694   ,258.66946408829693
1781,2014-08-02,597.35687863  ,597.59719327  ,586.40131226  ,590.16169397  ,597.35687863  ,597.59719327  ,586.40131226  ,590.16169397  ,12044.90534372 ,7108441.74134078  ,597.54112426  ,-0.012349660952856945  ,-123.49660952856945
1780,2014-08-03,589.376867    ,590.65103901  ,580.3432676   ,585.81593076  ,589.376867    ,590.65103901  ,580.3432676   ,585.81593076  ,9934.78066547  ,5819952.78240252  ,590.16169397  ,-0.0073636822830132065 ,-73.63682283013206
1779,2014-08-04,587.35959812  ,593.97469741  ,584.7553699   ,589.69500802  ,587.35959812  ,593.97469741  ,584.7553699   ,589.69500802  ,16662.36877121 ,9825715.68624486  ,585.81593076  ,0.006621665708147484   ,66.21665708147484
1778,2014-08-05,589.68811931  ,590.87248279  ,582.40731293  ,584.66166645  ,589.68811931  ,590.87248279  ,582.40731293  ,584.66166645  ,19877.14515303 ,11621404.80950815 ,589.69500802  ,-0.008535499710096484  ,-85.35499710096484
