,timestamp,open,high,low,close,pre_close,p_change,pip_change
4998,2001-05-09,1.4262,1.429,1.4173,1.4212,1.4262,-0.0035058196606365666,-35.05819660636567
4997,2001-05-10,1.4215,1.4288,1.4179,1.4227,1.4212,0.001055446101885682,10.55446101885682
4996,2001-05-11,1.4228,1.4233,1.413,1.4197,1.4227,-0.0021086666198074644,-21.086666198074646
4995,2001-05-14,1.4191,1.4205,1.4152,1.4198,1.4197,7.043741635559542e-05,0.7043741635559542
4994,2001-05-15,1.4238,1.4315,1.42,1.43,1.4198,0.0071841104380898635,71.84110438089863
4993,2001-05-16,1.424,1.4313,1.4204,1.4301,1.43,6.993006993005757e-05,0.6993006993005757
4992,2001-05-17,1.4302,1.4326,1.4264,1.4304,1.4301,0.00020977554017198585,2.0977554017198585
4991,2001-05-18,1.4304,1.4389,1.4261,1.4387,1.4304,0.005802572706935294,58.02572706935294
4990,2001-05-21,1.4387,1.4415,1.4347,1.4387,1.4387,0.0,0.0
4989,2001-05-22,1.4384,1.4407,1.4234,1.4264,1.4387,-0.008549384861333276,-85.49384861333276
4988,2001-05-23,1.4184,1.4205,1.4082,1.4082,1.4264,-0.012759394279304503,-127.59394279304503
4987,2001-05-24,1.4191,1.4205,1.4069,1.4076,1.4082,-0.0004260758414997845,-4.260758414997845
4986,2001-05-25,1.4078,1.424,1.4068,1.4212,1.4076,0.009661835748792313,96.61835748792313
4985,2001-05-28,1.422,1.4229,1.418,1.4206,1.4212,-0.0004221784407542062,-4.221784407542062
4984,2001-05-29,1.4193,1.4219,1.4175,1.4175,1.4206,-0.002182176545121872,-21.821765451218724
4983,2001-05-30,1.4232,1.4278,1.4184,1.4258,1.4175,0.005855379188712595,58.55379188712595
4982,2001-05-31,1.4256,1.4264,1.4155,1.4177,1.4258,-0.005681021181091261,-56.81021181091261
4981,2001-06-01,1.4177,1.4213,1.4112,1.4184,1.4177,0.0004937574945333978,4.937574945333978
4980,2001-06-04,1.421,1.4213,1.4107,1.4141,1.4184,-0.0030315848843769366,-30.315848843769366
4979,2001-06-05,1.4141,1.4143,1.406,1.4133,1.4141,-0.0005657308535463867,-5.6573085354638675
4978,2001-06-06,1.4105,1.4105,1.3883,1.3918,1.4133,-0.015212622939220322,-152.12622939220321
4977,2001-06-07,1.3911,1.3933,1.3791,1.3897,1.3918,-0.0015088374766489832,-15.088374766489832
4976,2001-06-08,1.3894,1.3939,1.3768,1.3806,1.3897,-0.006548175865294548,-65.48175865294547
4975,2001-06-11,1.3805,1.3877,1.3708,1.3743,1.3806,-0.0045632333767926525,-45.632333767926525
4974,2001-06-12,1.3743,1.3797,1.3678,1.3728,1.3743,-0.001091464745688775,-10.91464745688775
4973,2001-06-13,1.3733,1.3923,1.3705,1.3905,1.3728,0.012893356643356668,128.93356643356668
4972,2001-06-14,1.3913,1.4026,1.3868,1.4013,1.3905,0.007766990291262044,77.66990291262044
4971,2001-06-15,1.4013,1.4105,1.3983,1.4028,1.4013,0.0010704345964462902,10.704345964462902
4970,2001-06-18,1.4033,1.4091,1.3997,1.4054,1.4028,0.0018534359851725135,18.534359851725135
4969,2001-06-19,1.4039,1.404,1.3933,1.4012,1.4054,-0.0029884730325885345,-29.884730325885343
4968,2001-06-20,1.4012,1.4019,1.3903,1.3955,1.4012,-0.00406794176420211,-40.6794176420211
4967,2001-06-21,1.3955,1.4182,1.3946,1.4155,1.3955,0.01433178072375485,143.3178072375485
4966,2001-06-22,1.4166,1.4192,1.4082,1.411,1.4155,-0.0031790886612503844,-31.790886612503844
4965,2001-06-25,1.4124,1.4175,1.4108,1.4135,1.411,0.0017717930545710914,17.717930545710914
4964,2001-06-26,1.4127,1.417,1.4096,1.4154,1.4135,0.0013441811107179902,13.441811107179902
4963,2001-06-27,1.4168,1.4226,1.4117,1.417,1.4154,0.0011304224954076236,11.304224954076236
4962,2001-06-28,1.417,1.4193,1.4059,1.4078,1.417,-0.006492589978828622,-64.92589978828622
4961,2001-06-29,1.4078,1.4155,1.4026,1.4155,1.4078,0.005469526921437762,54.69526921437762
4960,2001-07-02,1.4148,1.4179,1.4095,1.4169,1.4155,0.0009890498057223418,9.890498057223418
4959,2001-07-03,1.417,1.4175,1.4045,1.4069,1.4169,-0.007057661091114387,-70.57661091114386
4958,2001-07-04,1.4061,1.4087,1.4016,1.4066,1.4069,-0.00021323477148338377,-2.1323477148338377
4957,2001-07-05,1.4065,1.4081,1.3983,1.3998,1.4066,-0.004834352338973558,-48.34352338973558
4956,2001-07-06,1.3998,1.4123,1.3961,1.412,1.3998,0.00871553079011278,87.1553079011278
4955,2001-07-09,1.4097,1.4127,1.4047,1.4079,1.412,-0.002903682719546774,-29.03682719546774
4954,2001-07-10,1.4077,1.4135,1.4059,1.4109,1.4079,0.0021308331557639004,21.308331557639004
4953,2001-07-11,1.411,1.4188,1.4066,1.4079,1.4109,-0.002126302360195731,-21.263023601957308
4952,2001-07-12,1.408,1.4095,1.4032,1.4074,1.4079,-0.0003551388592939464,-3.551388592939464
4951,2001-07-13,1.4074,1.4079,1.3974,1.4014,1.4074,-0.004263180332528038,-42.63180332528038
4950,2001-07-16,1.4043,1.4044,1.3974,1.4009,1.4014,-0.0003567860710717019,-3.567860710717019
4949,2001-07-17,1.4008,1.4064,1.3926,1.3994,1.4009,-0.001070740238418244,-10.70740238418244
4948,2001-07-18,1.3992,1.4179,1.3985,1.4166,1.3994,0.012290981849364169,122.9098184936417
4947,2001-07-19,1.4168,1.432,1.4136,1.4274,1.4166,0.007623888182973326,76.23888182973326
4946,2001-07-20,1.428,1.4353,1.4257,1.4306,1.4274,0.0022418383074120918,22.418383074120918
4945,2001-07-23,1.4265,1.427,1.417,1.4184,1.4306,-0.008527890395638171,-85.27890395638171
4944,2001-07-24,1.4184,1.4242,1.4151,1.4238,1.4184,0.003807106598984644,38.071065989846446
4943,2001-07-25,1.4238,1.4291,1.4184,1.4271,1.4238,0.0023177412557944255,23.177412557944255
4942,2001-07-26,1.4272,1.4315,1.4245,1.428,1.4271,0.0006306495690560077,6.306495690560077
4941,2001-07-27,1.4282,1.43,1.422,1.4239,1.428,-0.0028711484593837433,-28.711484593837433
4940,2001-07-30,1.423,1.4275,1.4201,1.4258,1.4239,0.001334363368214131,13.34363368214131
4939,2001-07-31,1.4262,1.4302,1.4228,1.4253,1.4258,-0.00035068031982044,-3.5068031982044
4938,2001-08-01,1.4256,1.4346,1.4235,1.4342,1.4253,0.006244299445730572,62.44299445730572
4937,2001-08-02,1.4338,1.4355,1.4271,1.4312,1.4342,-0.0020917584716216853,-20.91758471621685
4936,2001-08-03,1.4314,1.4326,1.4245,1.4286,1.4312,-0.0018166573504750927,-18.16657350475093
4935,2001-08-06,1.428,1.4282,1.4166,1.4192,1.4286,-0.0065798684026320275,-65.79868402632027
4934,2001-08-07,1.4192,1.4201,1.412,1.4168,1.4192,-0.0016910935738443378,-16.910935738443378
4933,2001-08-08,1.4169,1.4178,1.4124,1.4157,1.4168,-0.0007763975155280489,-7.763975155280489
4932,2001-08-09,1.4158,1.4286,1.4128,1.4258,1.4157,0.007134279861552573,71.34279861552572
4931,2001-08-10,1.426,1.428,1.4225,1.4234,1.4258,-0.0016832655351380899,-16.8326553513809
4930,2001-08-13,1.423,1.4273,1.42,1.4218,1.4234,-0.001124069130251537,-11.240691302515371
4929,2001-08-14,1.4219,1.4297,1.4159,1.4286,1.4218,0.004782669855113442,47.82669855113441
4928,2001-08-15,1.4283,1.4403,1.4264,1.4398,1.4286,0.00783984320313591,78.3984320313591
4927,2001-08-16,1.4392,1.4517,1.4387,1.4462,1.4398,0.004445061814140727,44.450618141407276
4926,2001-08-17,1.4459,1.4486,1.439,1.4451,1.4462,-0.0007606140229566849,-7.606140229566849
4925,2001-08-20,1.4443,1.4474,1.4423,1.4441,1.4451,-0.0006919936336586829,-6.919936336586829
4924,2001-08-21,1.4438,1.4507,1.4428,1.4495,1.4441,0.003739353230385767,37.39353230385767
4923,2001-08-22,1.4491,1.4586,1.4478,1.4492,1.4495,-0.0002069679199724339,-2.069679199724339
4922,2001-08-23,1.449,1.4497,1.4431,1.447,1.4492,-0.0015180789401049166,-15.180789401049166
4921,2001-08-24,1.4471,1.4482,1.4404,1.4427,1.447,-0.0029716655148582793,-29.716655148582795
4920,2001-08-27,1.443,1.4454,1.4403,1.4442,1.4427,0.0010397171969223074,10.397171969223074
4919,2001-08-28,1.4444,1.4521,1.4371,1.4503,1.4442,0.004223791718598546,42.23791718598547
4918,2001-08-29,1.4504,1.4572,1.4491,1.4519,1.4503,0.0011032200234435408,11.032200234435408
4917,2001-08-30,1.4521,1.4604,1.4476,1.4581,1.4519,0.004270266547282908,42.70266547282908
4916,2001-08-31,1.4583,1.4621,1.4491,1.4559,1.4581,-0.001508812838625584,-15.088128386255839
4915,2001-09-03,1.4553,1.4564,1.4506,1.4546,1.4559,-0.0008929184696752079,-8.92918469675208
4914,2001-09-04,1.4536,1.4555,1.4407,1.442,1.4546,-0.008662175168431152,-86.62175168431152
4913,2001-09-05,1.4419,1.4588,1.4402,1.4575,1.442,0.010748959778086098,107.48959778086098
4912,2001-09-06,1.4576,1.4582,1.4457,1.4556,1.4575,-0.001303602058319031,-13.03602058319031
4911,2001-09-07,1.4556,1.4635,1.4498,1.4609,1.4556,0.003641110195108599,36.41110195108599
4910,2001-09-10,1.4608,1.468,1.4567,1.4585,1.4609,-0.001642822917379827,-16.42822917379827
4909,2001-09-11,1.4582,1.477,1.4528,1.4756,1.4585,0.011724374357216405,117.24374357216405
4908,2001-09-12,1.4756,1.4776,1.4615,1.467,1.4756,-0.005828137706695546,-58.281377066955464
4907,2001-09-13,1.4677,1.4732,1.4647,1.4705,1.467,0.0023858214042262738,23.858214042262738
4906,2001-09-14,1.4705,1.4789,1.4658,1.472,1.4705,0.0010200612036721513,10.200612036721513
4905,2001-09-17,1.4715,1.4785,1.462,1.4653,1.472,-0.004551630434782572,-45.516304347825724
4904,2001-09-18,1.4664,1.4763,1.4592,1.4687,1.4653,0.0023203439568688644,23.203439568688644
4903,2001-09-19,1.4684,1.4725,1.4616,1.4696,1.4687,0.0006127868182748131,6.127868182748131
4902,2001-09-20,1.4698,1.471,1.4624,1.4653,1.4696,-0.0029259662493195115,-29.259662493195115
4901,2001-09-21,1.4649,1.4675,1.4513,1.4552,1.4653,-0.0068927864601106,-68.92786460110601
4900,2001-09-24,1.4552,1.4665,1.4525,1.4629,1.4552,0.005291368884002168,52.91368884002168
4899,2001-09-25,1.4575,1.466,1.4534,1.4627,1.4629,-0.00013671474468535116,-1.3671474468535116
4898,2001-09-26,1.4627,1.4705,1.4602,1.4699,1.4627,0.004922403773842898,49.22403773842898
4897,2001-09-27,1.4743,1.4767,1.4708,1.4736,1.4699,0.0025171780393224985,25.171780393224985
4896,2001-09-28,1.4735,1.475,1.465,1.4725,1.4736,-0.0007464712269272811,-7.464712269272811
4895,2001-10-01,1.473,1.4812,1.4695,1.4781,1.4725,0.0038030560271646863,38.03056027164686
4894,2001-10-02,1.478,1.4809,1.4615,1.4685,1.4781,-0.006494824436776958,-64.94824436776958
4893,2001-10-03,1.4692,1.4789,1.4661,1.4747,1.4685,0.0042219952332311905,42.219952332311905
4892,2001-10-04,1.4744,1.4787,1.4694,1.4759,1.4747,0.0008137248253883289,8.137248253883289
4891,2001-10-05,1.4758,1.4813,1.4736,1.4791,1.4759,0.0021681685751067103,21.681685751067103
4890,2001-10-08,1.484,1.484,1.4707,1.4747,1.4791,-0.0029747819620040694,-29.747819620040694
4889,2001-10-09,1.4749,1.475,1.4548,1.4589,1.4747,-0.010714043534278073,-107.14043534278073
4888,2001-10-10,1.4588,1.46,1.448,1.4504,1.4589,-0.0058263074919461255,-58.26307491946125
4887,2001-10-11,1.4505,1.4525,1.4395,1.4437,1.4504,-0.004619415333701027,-46.19415333701027
4886,2001-10-12,1.4438,1.4536,1.4426,1.4498,1.4437,0.004225254554270252,42.25254554270252
4885,2001-10-15,1.451,1.454,1.446,1.4482,1.4498,-0.0011036004966202828,-11.036004966202828
4884,2001-10-16,1.4483,1.45,1.442,1.4476,1.4482,-0.0004143074161027105,-4.143074161027105
4883,2001-10-17,1.448,1.4522,1.4433,1.4465,1.4476,-0.0007598784194529085,-7.598784194529085
4882,2001-10-18,1.4468,1.4501,1.4414,1.4452,1.4465,-0.0008987210508122345,-8.987210508122345
4881,2001-10-19,1.4452,1.4455,1.4339,1.4347,1.4452,-0.007265430390257399,-72.65430390257399
4880,2001-10-22,1.4334,1.4354,1.4207,1.4243,1.4347,-0.007248902209521235,-72.48902209521235
4879,2001-10-23,1.4237,1.4257,1.4192,1.4247,1.4243,0.0002808397107352256,2.8083971073522562
4878,2001-10-24,1.4249,1.4306,1.4217,1.428,1.4247,0.0023162771109705993,23.162771109705993
4877,2001-10-25,1.428,1.4327,1.4233,1.429,1.428,0.0007002801120448154,7.002801120448154
4876,2001-10-26,1.429,1.4373,1.4242,1.4369,1.429,0.0055283414975506595,55.283414975506595
4875,2001-10-29,1.4355,1.4542,1.435,1.4522,1.4369,0.010647922611176641,106.47922611176641
4874,2001-10-30,1.4519,1.4597,1.4513,1.4525,1.4522,0.00020658311527332884,2.0658311527332884
4873,2001-10-31,1.4525,1.457,1.45,1.455,1.4525,0.001721170395869276,17.21170395869276
4872,2001-11-01,1.4549,1.468,1.4519,1.462,1.455,0.004810996563573866,48.10996563573866
4871,2001-11-02,1.4621,1.4664,1.4589,1.4618,1.462,-0.00013679890560869268,-1.3679890560869268
